Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
97,97,96,91,80,73,67,59,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,89,88,83,79,79,75,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,89,88,83,79,79,75,,,,,,,,,,,,,,,,,,,,,,,,,,
98,95,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,95,91,91,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,85,85,82,74,74,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,89,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,89,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,85,78,76,76,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,77,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,74,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,85,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,90,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,94,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,94,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,81,75,72,72,67,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,81,75,72,72,67,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,81,75,75,73,71,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,93,85,83,82,81,79,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,89,83,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,92,87,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,92,87,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,94,92,87,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,96,94,90,86,82,78,73,67,65,,,,,,,,,,,,,,,,,,,,,,,,
98,96,94,90,86,82,78,73,67,65,,,,,,,,,,,,,,,,,,,,,,,,
98,96,94,90,86,82,78,73,67,65,,,,,,,,,,,,,,,,,,,,,,,,
98,96,94,90,86,82,78,73,67,,,,,,,,,,,,,,,,,,,,,,,,,
97,96,96,91,88,85,84,82,82,,,,,,,,,,,,,,,,,,,,,,,,,
97,90,89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
